antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'goldenretrieverlife'}),frozenset({'goldenretriever'}),0.10772578890097932,0.25680087051142547,0.0750816104461371,0.696969696969697,2.7140472521828456,1.0,0.04741753407983556,2.4525571273122964,0.7077942735949098,0.25939849624060146,0.5922623009006612,0.4946712891628146
frozenset({'goldenretrieverpuppy'}),frozenset({'goldenretriever'}),0.06637649619151251,0.25680087051142547,0.058759521218716,0.8852459016393444,3.447207557654904,1.0,0.04171397921523727,6.476449556971868,0.7603815937149272,0.22222222222222224,0.8455944123082832,0.5570297304806892
frozenset({'puppy'}),frozenset({'goldenretriever'}),0.0794341675734494,0.25680087051142547,0.06637649619151251,0.8356164383561643,3.253947062920826,1.0,0.04597773281030026,4.521128037722159,0.7524512653567414,0.24596774193548387,0.7788162618584408,0.5470455073136753
frozenset({'liverpool'}),frozenset({'lfc'}),0.1588683351468988,0.1458106637649619,0.10772578890097932,0.678082191780822,4.6504293600490705,1.0,0.08456109150197558,2.6534392146875656,0.9332261816091053,0.546961325966851,0.6231306168746183,0.7084440809650379
frozenset({'lfc'}),frozenset({'liverpool'}),0.1458106637649619,0.1588683351468988,0.10772578890097932,0.7388059701492538,4.65042936004907,1.0,0.08456109150197558,3.220332659723302,0.9189603036736794,0.546961325966851,0.6894730744723987,0.7084440809650379
"frozenset({'foryou', 'fyp'})",frozenset({'football'}),0.10010881392818281,0.26659412404787813,0.056583242655059846,0.5652173913043478,2.1201419698314106,1.0,0.029894821096403925,1.68683351468988,0.5871081759836293,0.18245614035087715,0.4071732679654238,0.3887311446317657
"frozenset({'football', 'foryou'})",frozenset({'fyp'}),0.07072905331882481,0.3405875952121872,0.056583242655059846,0.7999999999999999,2.34888178913738,1.0,0.032493804473566736,3.297062023939063,0.6179742388758781,0.15950920245398773,0.6966996699669966,0.4830670926517572
"frozenset({'football', 'fyp'})",frozenset({'viral'}),0.12622415669205658,0.1512513601741023,0.06964091403699674,0.5517241379310345,3.6477300917886377,1.0,0.050549338650494165,1.8933623503808485,0.8307129514321294,0.3350785340314136,0.47183908045977013,0.5060778963036467
"frozenset({'viral', 'fyp'})",frozenset({'football'}),0.10990206746463548,0.26659412404787813,0.06964091403699674,0.6336633663366337,2.376884219034148,1.0,0.040341668630211436,2.001999823544981,0.6508060819070904,0.22695035460992907,0.5004994564738373,0.44744392806627603
"frozenset({'viral', 'football'})",frozenset({'fyp'}),0.08269858541893363,0.3405875952121872,0.06964091403699674,0.8421052631578947,2.4725071464604,1.0,0.041474801701712485,4.176278563656147,0.6492437722419929,0.19692307692307692,0.7605523710265762,0.523289053304187
"frozenset({'foryou', 'fyp'})",frozenset({'viral'}),0.10010881392818281,0.1512513601741023,0.056583242655059846,0.5652173913043478,3.7369408820769467,1.0,0.04144164838300608,1.9521218715995645,0.8138777788112733,0.29050279329608936,0.487736900780379,0.4696590553644041
"frozenset({'viral', 'fyp'})",frozenset({'foryou'}),0.10990206746463548,0.14907508161044614,0.056583242655059846,0.5148514851485149,3.453638794536388,1.0,0.04019958297861256,1.7539472807621417,0.7981709610682716,0.27956989247311825,0.4298574358714644,0.44720676447206764
"frozenset({'viral', 'foryou'})",frozenset({'fyp'}),0.07616974972796518,0.3405875952121872,0.056583242655059846,0.7428571428571428,2.1811045184847098,1.0,0.030640770767298035,2.564381574174827,0.5861647186735526,0.15709969788519637,0.6100424328147099,0.4544956640803286
